iter	Logloss
0	0.6700743805
1	0.6517204829
2	0.6279611788
3	0.6150811723
4	0.5990535742
5	0.5899058168
6	0.5720516393
7	0.5564194194
8	0.5404416959
9	0.5247387265
10	0.5119349707
11	0.4985923763
12	0.4871086002
13	0.4743199453
14	0.4639118545
15	0.4557161352
16	0.4448072333
17	0.4335766666
18	0.4257997362
19	0.418059144
20	0.4088134088
21	0.4019010004
22	0.393219223
23	0.3857704495
24	0.3782939844
25	0.3735125459
26	0.3669730876
27	0.3604529352
28	0.3535570882
29	0.3488655861
30	0.3446165368
31	0.33925896
32	0.3344010221
33	0.3301057168
34	0.3235637594
35	0.3192690599
36	0.3153926638
37	0.3094021523
38	0.3047115574
39	0.3009179243
40	0.2967156411
41	0.2923576668
42	0.2897147491
43	0.2877949998
44	0.2859241889
45	0.2830291601
46	0.2789586611
47	0.2749753442
48	0.2715862643
49	0.268902301
50	0.2666215733
51	0.2626416455
52	0.2585171412
53	0.2550538637
54	0.2535624988
55	0.2524068783
56	0.2492591968
57	0.2469294879
58	0.2438347028
59	0.2419435959
60	0.2384032132
61	0.2365077671
62	0.2333189824
63	0.2308130066
64	0.228059621
65	0.2252710951
66	0.2232781149
67	0.2227697129
68	0.220846251
69	0.2188016698
70	0.2172239266
71	0.2142416228
72	0.2116504287
73	0.2105808146
74	0.2090462759
75	0.2067869877
76	0.204820792
77	0.2028621193
78	0.2010787817
79	0.1988430938
80	0.1959387176
81	0.1947357071
82	0.193044327
83	0.1902367426
84	0.1876486658
85	0.1853366259
86	0.184227661
87	0.1824376491
88	0.1813864693
89	0.179886184
90	0.1776800451
91	0.1771758714
92	0.1753814538
93	0.173206705
94	0.170955544
95	0.1691747166
96	0.1670602098
97	0.1653684057
98	0.1634214557
99	0.1616382727
100	0.1603905552
101	0.1600363343
102	0.1583204535
103	0.1566978039
104	0.1555173751
105	0.1553819138
106	0.1537445466
107	0.1525401283
108	0.1508961885
109	0.1496420381
110	0.1480626872
111	0.1468219483
112	0.1457329801
113	0.1442810469
114	0.1430977815
115	0.1415627894
116	0.1406713385
117	0.1393249012
118	0.1380922443
119	0.1362804705
120	0.1352589312
121	0.1339929248
122	0.1332772742
123	0.1321559107
124	0.1306685032
125	0.1295136094
126	0.1285685013
127	0.1276771743
128	0.1261660114
129	0.1249815978
130	0.1237311755
131	0.1230028081
132	0.1226991908
133	0.1220191286
134	0.1215411699
135	0.1207036995
136	0.1200079047
137	0.1194807201
138	0.1185439293
139	0.1177960847
140	0.116712128
141	0.11602355
142	0.1147952247
143	0.1134736002
144	0.1125538577
145	0.1122739941
146	0.1112147108
147	0.1100064132
148	0.109097847
149	0.1087981552
150	0.1082412862
151	0.1074610662
152	0.1070959873
153	0.1059622072
154	0.1052788955
155	0.1042329258
156	0.1037275842
157	0.1031614096
158	0.102615634
159	0.1023356589
160	0.1015798799
161	0.1011353842
162	0.1000161263
163	0.09952343809
164	0.09852245173
165	0.09791320168
166	0.09690976525
167	0.09608051618
168	0.0951342087
169	0.09434960161
170	0.0936191098
171	0.09260080025
172	0.09201788779
173	0.09153199288
174	0.09066161187
175	0.09004966277
176	0.08932226625
177	0.08870001735
178	0.08813476356
179	0.08758082185
180	0.0868445939
181	0.08608694452
182	0.08535396255
183	0.08449433254
184	0.08408356809
185	0.08363652337
186	0.08341427618
187	0.08278578655
188	0.08243355444
189	0.08177570956
190	0.08109943122
191	0.08056060311
192	0.07989938452
193	0.07915760207
194	0.078764753
195	0.07831123096
196	0.07788934725
197	0.077179077
198	0.07656436527
199	0.07617159865
200	0.07572885178
201	0.0749200298
202	0.07442572682
203	0.07393184969
204	0.07331903891
205	0.07284250258
206	0.0724173295
207	0.07187325557
208	0.07141757325
209	0.07100498803
210	0.07037354338
211	0.06979701779
212	0.06943195141
213	0.0690563266
214	0.06850969086
215	0.06808657131
216	0.06761949928
217	0.06721612534
218	0.066684381
219	0.06623545609
220	0.06567965091
221	0.06526063958
222	0.06475750899
223	0.06434259838
224	0.06385733021
225	0.06342225377
226	0.06302088397
227	0.06255523386
228	0.06206671182
229	0.06178492963
230	0.06150281029
231	0.06108671285
232	0.06057147845
233	0.06022073929
234	0.05983089409
235	0.05962511263
236	0.0592785884
237	0.0589188474
238	0.05857607119
239	0.05840580553
240	0.05812533542
241	0.05764945476
242	0.05734797863
243	0.05696062316
244	0.05656646331
245	0.05626099184
246	0.05598816094
247	0.05562395122
248	0.05536810315
249	0.05514648511
250	0.05479063559
251	0.05446324658
252	0.05424547392
253	0.05390220077
254	0.05355907623
255	0.0532456706
256	0.05299785385
257	0.05262122442
258	0.05223667634
259	0.05190482803
260	0.05166873096
261	0.05123113699
262	0.05091123528
263	0.05065619547
264	0.05037713356
265	0.05011722852
266	0.04976575652
267	0.04936234898
268	0.04909886407
269	0.04884032717
270	0.04851167126
271	0.04820926755
272	0.04795958186
273	0.04780801423
274	0.04752138063
275	0.04721288223
276	0.04699671379
277	0.0467926892
278	0.04657371561
279	0.0462226063
280	0.04604467219
281	0.04583898849
282	0.0456164841
283	0.04530257313
284	0.04507943932
285	0.04491841964
286	0.04470278711
287	0.0444873822
288	0.04427436099
289	0.04404385696
290	0.04381039759
291	0.04361719306
292	0.04336631683
293	0.04315154245
294	0.04298190283
