iter	Passed	Remaining
455	877	13561
456	880	13566
457	882	13565
458	884	13562
459	885	13558
460	887	13554
461	889	13553
462	891	13550
463	893	13548
464	895	13546
465	897	13554
466	900	13555
467	901	13552
468	903	13549
469	905	13544
470	907	13541
471	909	13535
472	910	13527
473	912	13523
474	914	13521
475	915	13515
476	917	13511
477	919	13506
478	921	13499
479	923	13501
480	924	13497
481	926	13492
482	928	13490
483	930	13487
484	932	13482
485	933	13476
486	935	13474
487	937	13471
488	939	13465
489	940	13461
490	942	13456
491	944	13458
492	946	13456
493	948	13452
494	950	13450
495	952	13447
496	953	13441
497	955	13436
498	957	13432
499	959	13428
500	961	13425
501	962	13421
502	964	13420
503	966	13416
504	968	13414
505	970	13412
506	972	13408
507	974	13411
508	976	13409
509	978	13405
510	979	13403
511	981	13399
512	983	13394
513	985	13388
514	986	13385
515	988	13382
516	990	13380
517	992	13377
518	994	13373
519	996	13370
520	997	13366
521	999	13361
522	1001	13356
523	1003	13354
524	1004	13350
525	1006	13346
526	1008	13341
527	1010	13339
528	1012	13339
529	1014	13335
530	1015	13330
531	1017	13325
532	1019	13320
533	1021	13319
534	1022	13317
535	1024	13314
536	1026	13310
537	1028	13305
538	1029	13298
539	1031	13291
540	1033	13288
541	1034	13282
542	1036	13278
543	1038	13274
544	1039	13269
545	1041	13263
546	1043	13258
547	1044	13256
548	1046	13253
549	1048	13253
550	1050	13248
551	1052	13245
552	1053	13240
553	1055	13236
554	1057	13232
555	1059	13227
556	1060	13223
557	1062	13222
558	1064	13218
559	1066	13216
560	1068	13214
561	1070	13211
562	1072	13208
563	1074	13209
564	1075	13206
565	1078	13206
566	1079	13202
567	1081	13196
568	1082	13190
569	1084	13183
570	1085	13176
571	1087	13169
572	1088	13164
573	1090	13158
574	1092	13155
575	1093	13150
576	1095	13145
577	1097	13140
578	1098	13136
579	1100	13132
580	1102	13128
581	1104	13125
582	1106	13122
583	1108	13121
584	1109	13117
585	1111	13116
586	1113	13113
587	1115	13110
588	1117	13106
589	1118	13105
590	1120	13104
591	1122	13100
592	1124	13098
593	1126	13095
594	1128	13090
595	1129	13086
596	1131	13084
597	1133	13079
598	1135	13076
599	1153	13262
600	1155	13260
601	1156	13256
602	1158	13253
603	1160	13249
604	1162	13245
605	1164	13242
606	1166	13243
607	1167	13238
608	1169	13232
609	1171	13230
610	1172	13225
611	1174	13219
612	1176	13216
613	1178	13212
614	1179	13206
615	1181	13203
616	1183	13199
617	1184	13193
618	1186	13188
619	1188	13185
620	1189	13179
621	1191	13173
622	1192	13167
623	1194	13163
624	1196	13160
625	1198	13155
626	1199	13152
627	1201	13149
628	1203	13144
629	1204	13139
630	1206	13135
631	1208	13129
632	1209	13124
633	1211	13122
634	1213	13118
635	1215	13113
636	1216	13108
637	1218	13104
638	1220	13100
639	1221	13096
640	1223	13090
641	1225	13086
642	1226	13082
643	1228	13077
644	1230	13073
645	1231	13068
646	1233	13065
647	1235	13060
648	1236	13055
649	1238	13051
650	1240	13048
651	1242	13048
652	1244	13044
653	1245	13041
654	1247	13038
655	1249	13033
656	1251	13030
657	1252	13027
658	1254	13025
659	1256	13021
660	1258	13020
661	1260	13016
662	1261	13013
663	1263	13010
664	1265	13007
665	1267	13003
666	1268	12999
667	1270	12994
668	1272	12990
669	1274	12987
670	1275	12984
671	1277	12980
672	1279	12977
673	1281	12975
674	1282	12970
675	1284	12966
676	1286	12965
677	1288	12961
678	1289	12956
679	1291	12953
680	1293	12951
681	1295	12947
682	1296	12944
683	1298	12940
684	1300	12936
685	1302	12933
686	1303	12928
687	1305	12923
688	1306	12919
689	1308	12915
690	1310	12913
691	1312	12908
692	1314	12906
693	1315	12904
694	1317	12900
695	1319	12897
696	1321	12894
697	1322	12889
698	1324	12886
699	1326	12883
700	1327	12878
701	1329	12876
702	1331	12876
703	1333	12873
704	1335	12869
705	1336	12866
706	1338	12862
707	1340	12859
708	1342	12855
709	1343	12853
710	1345	12848
711	1347	12849
712	1349	12846
713	1351	12842
714	1352	12837
715	1354	12835
716	1356	12833
717	1358	12828
718	1359	12824
719	1361	12825
720	1364	12825
721	1366	12824
722	1367	12821
723	1369	12819
724	1371	12816
725	1373	12815
726	1375	12812
727	1377	12809
728	1378	12806
729	1380	12801
730	1382	12797
731	1383	12794
732	1385	12791
733	1387	12786
734	1388	12783
735	1391	12786
736	1393	12784
737	1395	12782
738	1396	12778
739	1398	12773
740	1399	12769
741	1401	12766
742	1403	12762
743	1405	12759
744	1407	12758
745	1408	12754
746	1410	12750
747	1412	12747
748	1413	12743
749	1415	12739
750	1417	12734
751	1418	12731
752	1420	12730
753	1422	12726
754	1424	12723
755	1425	12718
756	1427	12716
757	1429	12713
758	1431	12710
759	1432	12706
760	1434	12701
761	1436	12699
762	1437	12696
763	1439	12693
764	1441	12691
765	1443	12688
766	1444	12684
767	1446	12681
768	1448	12677
769	1450	12674
770	1451	12670
771	1453	12668
772	1455	12664
773	1457	12662
774	1458	12660
775	1460	12655
776	1462	12651
777	1463	12647
778	1465	12644
779	1467	12641
780	1469	12638
781	1470	12635
782	1472	12633
783	1474	12630
784	1476	12628
785	1477	12624
786	1479	12622
787	1481	12621
788	1483	12618
789	1485	12616
790	1487	12613
791	1488	12609
792	1490	12606
793	1492	12603
794	1493	12599
795	1495	12598
796	1497	12594
797	1499	12592
798	1501	12589
799	1502	12585
800	1504	12583
801	1506	12580
802	1508	12577
803	1510	12577
804	1511	12574
805	1513	12569
806	1515	12568
807	1517	12565
808	1518	12561
809	1520	12556
810	1522	12554
811	1524	12552
812	1525	12549
813	1527	12549
814	1529	12545
815	1531	12541
816	1533	12540
817	1534	12536
818	1536	12532
819	1538	12532
820	1540	12528
821	1541	12525
822	1543	12521
823	1545	12519
824	1547	12517
825	1548	12514
826	1550	12513
827	1552	12511
828	1554	12507
829	1556	12504
830	1557	12501
831	1559	12499
832	1561	12496
833	1563	12493
834	1564	12489
835	1566	12485
836	1568	12489
837	1570	12485
838	1572	12483
839	1574	12482
840	1576	12481
841	1578	12482
842	1580	12480
843	1582	12480
844	1584	12480
845	1586	12479
846	1588	12476
847	1590	12476
848	1592	12474
849	1594	12474
850	1596	12473
851	1598	12470
852	1599	12467
853	1601	12464
854	1603	12460
855	1604	12456
856	1606	12452
857	1608	12448
858	1609	12444
859	1611	12441
860	1613	12440
861	1615	12437
862	1616	12433
863	1618	12431
864	1620	12427
865	1621	12423
866	1623	12419
867	1625	12417
868	1627	12415
869	1628	12413
870	1630	12410
871	1632	12407
872	1633	12403
873	1635	12400
874	1637	12396
875	1639	12394
876	1641	12393
877	1643	12393
878	1645	12391
879	1646	12389
880	1648	12387
881	1650	12383
882	1651	12379
883	1653	12375
884	1655	12373
885	1657	12372
886	1659	12372
887	1661	12369
888	1662	12366
889	1664	12364
890	1666	12361
891	1668	12358
892	1669	12353
893	1671	12351
894	1673	12350
895	1675	12347
896	1677	12345
897	1678	12343
898	1680	12340
899	1682	12338
900	1684	12334
901	1685	12332
902	1688	12332
903	1689	12329
904	1691	12326
905	1693	12323
906	1695	12321
907	1696	12317
908	1698	12312
909	1700	12312
910	1701	12308
911	1703	12304
912	1705	12302
913	1706	12299
914	1708	12296
915	1710	12293
916	1711	12290
917	1713	12287
918	1715	12285
919	1717	12285
920	1719	12284
921	1721	12281
922	1723	12279
923	1725	12276
924	1726	12273
925	1728	12270
926	1730	12268
927	1731	12265
928	1733	12263
929	1735	12261
930	1737	12258
931	1739	12257
932	1740	12254
933	1742	12251
934	1744	12247
935	1746	12248
936	1748	12245
937	1749	12241
938	1751	12238
939	1753	12235
940	1755	12233
941	1756	12229
942	1758	12226
943	1760	12225
944	1762	12223
945	1763	12221
946	1765	12219
947	1767	12217
948	1769	12214
949	1771	12211
950	1773	12210
951	1775	12210
952	1777	12208
953	1778	12205
954	1780	12203
955	1782	12201
956	1784	12198
957	1786	12197
958	1787	12194
959	1789	12193
960	1791	12191
961	1793	12189
962	1795	12187
963	1797	12186
964	1799	12183
965	1801	12182
966	1803	12181
967	1804	12179
968	1806	12177
969	1808	12177
970	1810	12174
971	1812	12170
972	1813	12167
973	1815	12164
974	1817	12162
975	1819	12160
976	1820	12157
977	1822	12153
978	1824	12150
979	1825	12146
980	1827	12143
981	1829	12140
982	1830	12137
983	1832	12134
984	1834	12132
985	1835	12129
986	1837	12127
987	1839	12123
988	1841	12120
989	1842	12116
990	1844	12112
991	1845	12108
992	1847	12104
993	1849	12102
994	1850	12098
995	1852	12094
996	1853	12090
997	1855	12086
998	1856	12082
999	1858	12077
1000	1859	12073
1001	1861	12070
1002	1863	12068
1003	1864	12065
1004	1866	12062
1005	1868	12059
1006	1870	12059
1007	1872	12057
1008	1873	12054
1009	1875	12051
1010	1877	12050
1011	1879	12048
1012	1881	12046
1013	1883	12046
1014	1885	12045
1015	1887	12043
1016	1889	12041
1017	1890	12040
1018	1892	12039
1019	1894	12037
1020	1896	12036
1021	1898	12034
1022	1900	12031
1023	1902	12031
1024	1904	12031
1025	1906	12030
1026	1908	12029
1027	1910	12026
1028	1911	12023
1029	1913	12019
1030	1915	12015
1031	1916	12011
1032	1917	12007
1033	1919	12002
1034	1920	11998
1035	1922	11995
1036	1924	11992
1037	1925	11988
1038	1927	11984
1039	1928	11980
1040	1930	11976
1041	1931	11972
1042	1933	11968
1043	1934	11965
1044	1936	11961
1045	1937	11957
1046	1939	11953
1047	1940	11949
1048	1942	11945
1049	1944	11941
1050	1945	11937
1051	1947	11933
1052	1948	11929
1053	1949	11925
1054	1952	11925
1055	1953	11922
1056	1955	11918
1057	1956	11914
1058	1958	11910
1059	1959	11906
1060	1961	11902
1061	1962	11898
1062	1964	11895
1063	1966	11893
1064	1968	11892
1065	1970	11892
1066	1972	11890
1067	1974	11890
1068	1976	11888
1069	1978	11886
1070	1979	11883
1071	1981	11880
1072	1982	11876
1073	1984	11872
1074	1985	11868
1075	1987	11865
1076	1988	11861
1077	1990	11858
1078	1992	11854
1079	1993	11850
1080	1995	11847
1081	1996	11845
1082	1998	11842
1083	2000	11839
1084	2001	11836
1085	2003	11832
1086	2005	11829
1087	2006	11826
1088	2008	11822
1089	2009	11818
1090	2011	11815
1091	2012	11811
1092	2014	11807
1093	2016	11804
1094	2017	11801
1095	2019	11797
1096	2020	11794
1097	2022	11791
1098	2023	11788
1099	2025	11784
1100	2026	11780
1101	2028	11776
1102	2029	11772
1103	2031	11769
1104	2032	11765
1105	2034	11761
1106	2035	11757
1107	2037	11753
1108	2039	11752
1109	2040	11749
1110	2042	11745
1111	2044	11742
1112	2045	11738
1113	2047	11734
1114	2048	11731
1115	2050	11727
1116	2051	11724
1117	2053	11721
1118	2054	11717
1119	2056	11714
1120	2058	11711
1121	2059	11707
1122	2061	11704
1123	2062	11701
1124	2064	11698
1125	2066	11695
1126	2067	11691
1127	2069	11689
1128	2071	11689
1129	2073	11689
1130	2075	11686
1131	2076	11683
1132	2078	11680
1133	2080	11677
1134	2081	11673
